,,,,,,,,,,,,FY 2015 3-YEAR COHORT DEFAULT RATES,,,
2769,MARYMOUNT MANHATTAN COLLEGE                                      ,221 EAST 71ST STREET                              ,NEW YORK            ,NY,NEW YORK                                                    ,10021,4597,6,Bachelor's Degree,2,Nonprofit,2015,37,480,7.7
2772,MERCY COLLEGE                                                    ,555 BROADWAY                                      ,DOBBS FERRY         ,NY,NEW YORK                                                    ,10522,1189,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,280,3552,7.8
2775,MOLLOY COLLEGE                                                   ,1000 HEMPSTEAD AVENUE                             ,ROCKVILLE CENTRE    ,NY,NEW YORK                                                    ,11570,1100,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,38,1180,3.2
2777,MEDAILLE COLLEGE                                                 ,18 AGASSIZ CIRCLE                                 ,BUFFALO             ,NY,NEW YORK                                                    ,14214,2695,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,97,868,11.1
2778,MOUNT SAINT MARY COLLEGE                                         ,330 POWELL AVENUE                                 ,NEWBURGH            ,NY,NEW YORK                                                    ,12550,3494,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,30,765,3.9
2779,NAZARETH COLLEGE OF ROCHESTER                                    ,4245 EAST AVENUE                                  ,ROCHESTER           ,NY,NEW YORK                                                    ,14618,3790,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,32,880,3.6
2782,NEW YORK INSTITUTE OF TECHNOLOGY                                 ,NORTHERN BOULEVARD                                ,OLD WESTBURY        ,NY,NEW YORK                                                    ,11568,8000,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,90,1772,5
2783,NEW YORK LAW SCHOOL                                              ,185 WEST BROADWAY                                 ,NEW YORK            ,NY,NEW YORK                                                    ,10013,2960,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,13,431,3
2784,NEW YORK MEDICAL COLLEGE                                         ,40 SUNSHINE COTTAGE ROAD           ADMINISTRATION ,VALHALLA            ,NY,NEW YORK                                                    ,10595,1600,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,1,359,0.2
2785,NEW YORK UNIVERSITY                                              ,70 WASHINGTON SQUARE SOUTH                        ,NEW YORK            ,NY,NEW YORK                                                    ,10012,1091,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,189,8635,2.1
2788,NIAGARA UNIVERSITY                                               ,LEWISTON ROAD                                     ,NIAGARA UNIVERSITY  ,NY,NEW YORK                                                    ,14109,2010,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,47,937,5
2790,NYACK COLLEGE                                                    ,ONE SOUTH BOULEVARD                               ,NYACK               ,NY,NEW YORK                                                    ,10960,3698,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,103,1072,9.6
2791,PACE UNIVERSITY                                                  ,ONE PACE PLAZA                                    ,NEW YORK            ,NY,NEW YORK                                                    ,10038,1598,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,140,3011,4.6
2795,PAUL SMITH'S COLLEGE OF ARTS & SCIENCES                          ,ROUTE 86 & 30                                     ,PAUL SMITHS         ,NY,NEW YORK                                                    ,12970,0,6,Bachelor's Degree,2,Nonprofit,2015,30,363,8.2
2798,PRATT INSTITUTE                                                  ,200 WILLOUGHBY AVENUE                             ,BROOKLYN            ,NY,NEW YORK                                                    ,11205,3899,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,33,911,3.6
2803,RENSSELAER POLYTECHNIC INSTITUTE                                 ,110 8TH STREET                                    ,TROY                ,NY,NEW YORK                                                    ,12180,3590,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,12,1110,1
2805,ROBERTS WESLEYAN COLLEGE                                         ,2301 WESTSIDE DRIVE                               ,ROCHESTER           ,NY,NEW YORK                                                    ,14624,1997,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,30,684,4.3
2806,ROCHESTER INSTITUTE OF TECHNOLOGY                                ,1 LOMB MEMORIAL DRIVE                             ,ROCHESTER           ,NY,NEW YORK                                                    ,14623,5608,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,105,3238,3.2
2808,DAEMEN COLLEGE                                                   ,4380 MAIN STREET                                  ,AMHERST             ,NY,NEW YORK                                                    ,14226,3592,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,40,893,4.4
2810,SAGE COLLEGES                                                    ,65 FIRST STREET                                   ,TROY                ,NY,NEW YORK                                                    ,12180,4199,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,40,864,4.6
2812,TROCAIRE COLLEGE                                                 ,360 CHOATE AVENUE                                 ,BUFFALO             ,NY,NEW YORK                                                    ,14220,2094,6,Bachelor's Degree,2,Nonprofit,2015,71,688,10.3
2813,SARAH LAWRENCE COLLEGE                                           ,ONE MEAD WAY                                      ,BRONXVILLE          ,NY,NEW YORK                                                    ,10708,5999,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,7,353,1.9
2814,SKIDMORE COLLEGE                                                 ,815 NORTH BROADWAY                                ,SARATOGA SPRINGS    ,NY,NEW YORK                                                    ,12866,1632,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,5,338,1.4
2815,SAINT BERNARD'S SCHOOL OF THEOLOGY AND MINISTRY                  ,120 FRENCH ROAD                                   ,ROCHESTER           ,NY,NEW YORK                                                    ,14618,3822,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,3,13,23
2816,SIENA COLLEGE                                                    ,515 LOUDON ROAD                                   ,LOUDONVILLE         ,NY,NEW YORK                                                    ,12211,1462,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,27,857,3.1
2817,ST. BONAVENTURE UNIVERSITY                                       ,3261 WEST STATE ROAD                              ,ST. BONAVENTURE     ,NY,NEW YORK                                                    ,14778,2284,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,23,609,3.7
2820,SAINT FRANCIS COLLEGE                                            ,180 REMSEN STREET                                 ,BROOKLYN HEIGHTS    ,NY,NEW YORK                                                    ,11201,4398,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,69,633,10.9
2821,SAINT JOHN FISHER COLLEGE                                        ,3690 EAST AVENUE                                  ,ROCHESTER           ,NY,NEW YORK                                                    ,14618,3597,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,21,1224,1.7
2822,CHRIST THE KING SEMINARY                                         ,711 KNOX ROAD                                     ,EAST AURORA         ,NY,NEW YORK                                                    ,14052,607,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,1,4,25
2823,SAINT JOHN'S UNIVERSITY                                          ,8000 UTOPIA PARKWAY                               ,JAMAICA             ,NY,NEW YORK                                                    ,11439,1343,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,167,3749,4.4
2825,SAINT JOSEPH'S COLLEGE                                           ,245 CLINTON AVENUE                                ,BROOKLYN            ,NY,NEW YORK                                                    ,11205,3688,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,58,1323,4.3
2829,ST. LAWRENCE UNIVERSITY                                          ,ROMODA DRIVE                                      ,CANTON              ,NY,NEW YORK                                                    ,13617,1455,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,10,478,2
2832,SAINT THOMAS AQUINAS COLLEGE                                     ,125 ROUTE 340                                     ,SPARKILL            ,NY,NEW YORK                                                    ,10976,1050,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,29,393,7.3
2833,SAINT VLADIMIRS ORTHODOX THEOLOGICAL SEMINARY                    ,575 SCARSDALE ROAD                                ,YONKERS             ,NY,NEW YORK                                                    ,10707,1699,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,1,32,3.1
2834,EXCELSIOR COLLEGE                                                ,7 COLUMBIA CIRCLE                                 ,ALBANY              ,NY,NEW YORK                                                    ,12203,5159,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,88,1899,4.6
2835,STATE UNIVERSITY OF NEW YORK AT ALBANY                           ,1400 WASHINGTON AVENUE                            ,ALBANY              ,NY,NEW YORK                                                    ,12222,1,8,Master's Degree or Doctor's Degree,1,Public,2015,159,3947,4
2836,BINGHAMTON UNIVERSITY                                            ,3600 VESTAL PARKWAY EAST                          ,BINGHAMTON          ,NY,NEW YORK                                                    ,13902,6000,8,Master's Degree or Doctor's Degree,1,Public,2015,51,2723,1.8
2837,STATE UNIVERSITY OF NEW YORK AT BUFFALO                          ,501 CAPEN HALL                     NORTH CAMPUS   ,BUFFALO             ,NY,NEW YORK                                                    ,14260,1,8,Master's Degree or Doctor's Degree,1,Public,2015,185,5552,3.3
2838,STATE UNIVERSITY OF NEW YORK AT STONY BROOK                      ,310 ADMINISTRATION BUILDING                       ,STONY BROOK         ,NY,NEW YORK                                                    ,11794,701,8,Master's Degree or Doctor's Degree,1,Public,2015,120,4290,2.7
2839,STATE UNIVERSITY OF NEW YORK DOWNSTATE MEDICAL CENTER            ,450 CLARKSON AVENUE                               ,BROOKLYN            ,NY,NEW YORK                                                    ,11203,2098,8,Master's Degree or Doctor's Degree,1,Public,2015,7,461,1.5
2840,STATE UNIVERSITY OF NEW YORK UPSTATE MEDICAL UNIVERSITY          ,750 EAST ADAMS STREET                             ,SYRACUSE            ,NY,NEW YORK                                                    ,13210,2375,8,Master's Degree or Doctor's Degree,1,Public,2015,3,414,0.7
2841,SUNY COLLEGE AT BROCKPORT                                        ,350 NEW CAMPUS DRIVE                              ,BROCKPORT           ,NY,NEW YORK                                                    ,14420,2914,8,Master's Degree or Doctor's Degree,1,Public,2015,110,2582,4.2
2842,SUNY COLLEGE AT BUFFALO                                          ,1300 ELMWOOD AVENUE                               ,BUFFALO             ,NY,NEW YORK                                                    ,14222,1095,8,Master's Degree or Doctor's Degree,1,Public,2015,273,3255,8.3
2843,SUNY COLLEGE AT CORTLAND                                         ,MILLER ADMINISTRATION BUILDING     GRAHAM AVENUE  ,CORTLAND            ,NY,NEW YORK                                                    ,13045,900,8,Master's Degree or Doctor's Degree,1,Public,2015,54,1981,2.7
2844,SUNY AT FREDONIA                                                 ,280 CENTRAL AVENUE                                ,FREDONIA            ,NY,NEW YORK                                                    ,14063,1145,8,Master's Degree or Doctor's Degree,1,Public,2015,74,1546,4.7
2845,SUNY COLLEGE AT GENESEO                                          ,1 COLLEGE CIRCLE                                  ,GENESEO             ,NY,NEW YORK                                                    ,14454,1401,8,Master's Degree or Doctor's Degree,1,Public,2015,17,1159,1.4
2846,STATE UNIVERSITY OF NEW YORK AT NEW PALTZ                        ,1 HAWK DRIVE                                      ,NEW PALTZ           ,NY,NEW YORK                                                    ,12561,2499,8,Master's Degree or Doctor's Degree,1,Public,2015,58,1612,3.5
2847,SUNY COLLEGE AT ONEONTA                                          ,RAVINE PARKWAY                                    ,ONEONTA             ,NY,NEW YORK                                                    ,13820,4015,8,Master's Degree or Doctor's Degree,1,Public,2015,32,1499,2.1
2848,SUNY COLLEGE AT OSWEGO                                           ,7060 STATE ROUTE 104                              ,OSWEGO              ,NY,NEW YORK                                                    ,13126,3599,8,Master's Degree or Doctor's Degree,1,Public,2015,99,2351,4.2
2849,STATE UNIVERSITY OF NEW YORK COLLEGE AT PLATTSBURGH              ,101 BROAD STREET                                  ,PLATTSBURGH         ,NY,NEW YORK                                                    ,12901,2681,8,Master's Degree or Doctor's Degree,1,Public,2015,68,1577,4.3
2850,STATE UNIVERSITY OF NEW YORK COLLEGE AT POTSDAM                  ,44 PIERREPONT AVENUE                              ,POTSDAM             ,NY,NEW YORK                                                    ,13676,2294,8,Master's Degree or Doctor's Degree,1,Public,2015,73,1280,5.7
2851,SUNY COLLEGE OF ENVIRONMENT SCIENCE & FORESTRY                   ,1 FORESTRY DRIVE                                  ,SYRACUSE            ,NY,NEW YORK                                                    ,13210,2778,8,Master's Degree or Doctor's Degree,1,Public,2015,12,455,2.6
2853,SUNY MARITIME COLLEGE                                            ,6 PENNYFIELD AVENUE                               ,BRONX               ,NY,NEW YORK                                                    ,10465,4198,8,Master's Degree or Doctor's Degree,1,Public,2015,11,359,3
2854,SUNY COLLEGE OF TECHNOLOGY AT ALFRED                             ,ALFRED STATE COLLEGE               10 UPPER COLLEG,ALFRED              ,NY,NEW YORK                                                    ,14802,9951,6,Bachelor's Degree,1,Public,2015,105,1304,8
2855,SUNY COLLEGE OF TECHNOLOGY AT CANTON                             ,CORNELL DRIVE                                     ,CANTON              ,NY,NEW YORK                                                    ,13617,1098,6,Bachelor's Degree,1,Public,2015,151,1285,11.7
2856,SUNY COLLEGE OF AGRICULTURE & TECHNOLOGY AT COBLESKILL           ,106 SUFFOLK CIRCLE                 S.U.N.Y. COBLES,COBLESKILL          ,NY,NEW YORK                                                    ,12043,9986,6,Bachelor's Degree,1,Public,2015,102,967,10.5
2857,SUNY COLLEGE OF TECHNOLOGY AT DELHI                              ,454 DELHI DRIVE                    BUSH HALL      ,DELHI               ,NY,NEW YORK                                                    ,13753,1190,8,Master's Degree or Doctor's Degree,1,Public,2015,109,1132,9.6
2858,STATE UNIVERSITY OF NEW YORK AT FARMINGDALE                      ,"2350 BROADHOLLOW ROAD, ROUTE 110                  ",FARMINGDALE         ,NY,NEW YORK                                                    ,11735,1021,8,Master's Degree or Doctor's Degree,1,Public,2015,59,1200,4.9
2859,SUNY COLLEGE OF AGRICULTURE & TECHNOLOGY AT MORRISVILLE          ,WHIPPLE ADMINISTRATION BUILDING    ROUTE 20       ,MORRISVILLE         ,NY,NEW YORK                                                    ,13408,901,6,Bachelor's Degree,1,Public,2015,149,1155,12.9
2860,ADIRONDACK COMMUNITY COLLEGE - SUNY OFFICE OF COMMUNITY COLLEGES ,640 BAY ROAD                                      ,QUEENSBURY          ,NY,NEW YORK                                                    ,12804,1445,5,Associate's Degree,1,Public,2015,185,1065,17.3
2861,CAYUGA COMMUNITY COLLEGE - SUNY OFFICE OF COMMUNITY COLLEGE      ,197 FRANKLIN STREET                               ,AUBURN              ,NY,NEW YORK                                                    ,13021,3099,5,Associate's Degree,1,Public,2015,264,1404,18.8
2862,SUNY BROOME COMMUNITY COLLEGE                                    ,907 UPPER FRONT STREET                            ,BINGHAMTON          ,NY,NEW YORK                                                    ,13905,1328,5,Associate's Degree,1,Public,2015,297,1812,16.3
2863,CORNING COMMUNITY COLLEGE - SUNY OFFICE OF COMMUNITY COLLEGES    ,1 ACADEMIC DRIVE                                  ,CORNING             ,NY,NEW YORK                                                    ,14830,3297,5,Associate's Degree,1,Public,2015,187,1208,15.4
2864,DUTCHESS COMMUNITY COLLEGE                                       ,53 PENDELL ROAD                                   ,POUGHKEEPSIE        ,NY,NEW YORK                                                    ,12601,1595,5,Associate's Degree,1,Public,2015,202,1503,13.4
2866,FASHION INSTITUTE OF TECHNOLOGY                                  ,7TH AVENUE AT 27TH STREET                         ,NEW YORK            ,NY,NEW YORK                                                    ,10001,5992,8,Master's Degree or Doctor's Degree,1,Public,2015,57,1535,3.7
2867,SUNY FULTON-MONTGOMERY COMMUNITY COLLEGE                         ,2805 STATE HIGHWAY 67                             ,JOHNSTOWN           ,NY,NEW YORK                                                    ,12095,3790,5,Associate's Degree,1,Public,2015,155,780,19.8
2868,HUDSON VALLEY COMMUNITY COLLEGE                                  ,80 VANDENBURGH AVENUE                             ,TROY                ,NY,NEW YORK                                                    ,12180,6096,5,Associate's Degree,1,Public,2015,262,2720,9.6
2869,JAMESTOWN COMMUNITY COLLEGE                                      ,525 FALCONER STREET                PO BOX 20      ,JAMESTOWN           ,NY,NEW YORK                                                    ,14702,20,5,Associate's Degree,1,Public,2015,160,957,16.7
2870,JEFFERSON COMMUNITY COLLEGE                                      ,1220 COFFEEN STREET                               ,WATERTOWN           ,NY,NEW YORK                                                    ,13601,1897,5,Associate's Degree,1,Public,2015,134,959,13.9
2871,MOHAWK VALLEY COMMUNITY COLLEGE - SUNY OFFICE OF COMMUNITY COLLEG,1101 SHERMAN DRIVE                                ,UTICA               ,NY,NEW YORK                                                    ,13501,5394,5,Associate's Degree,1,Public,2015,337,1865,18
2872,MONROE COMMUNITY COLLEGE                                         ,1000 EAST HENRIETTA ROAD                          ,ROCHESTER           ,NY,NEW YORK                                                    ,14623,5780,5,Associate's Degree,1,Public,2015,901,5010,17.9
2873,NASSAU COMMUNITY COLLEGE                                         ,1 EDUCATION DRIVE                                 ,GARDEN CITY         ,NY,NEW YORK                                                    ,11530,6793,5,Associate's Degree,1,Public,2015,244,2335,10.4
2874,NIAGARA COUNTY COMMUNITY COLLEGE                                 ,3111 SAUNDERS SETTLEMENT ROAD                     ,SANBORN             ,NY,NEW YORK                                                    ,14132,9460,5,Associate's Degree,1,Public,2015,211,1493,14.1
2875,ONONDAGA COMMUNITY COLLEGE                                       ,4585 WEST SENECA TURNPIKE                         ,SYRACUSE            ,NY,NEW YORK                                                    ,13215,4585,5,Associate's Degree,1,Public,2015,463,2712,17
2876,ORANGE COUNTY COMMUNITY COLLEGE                                  ,115 SOUTH STREET                                  ,MIDDLETOWN          ,NY,NEW YORK                                                    ,10940,6441,5,Associate's Degree,1,Public,2015,140,1062,13.1
2877,ROCKLAND COMMUNITY COLLEGE                                       ,145 COLLEGE ROAD                                  ,SUFFERN             ,NY,NEW YORK                                                    ,10901,3611,5,Associate's Degree,1,Public,2015,77,613,12.5
2878,SUFFOLK COUNTY COMMUNITY COLLEGE                                 ,533 COLLEGE ROAD                                  ,SELDEN              ,NY,NEW YORK                                                    ,11784,2899,5,Associate's Degree,1,Public,2015,290,3010,9.6
2879,SULLIVAN COUNTY COMMUNITY COLLEGE - SUNY OFFICE OF COMMUNITY COLL,112 COLLEGE ROAD                                  ,LOCH SHELDRAKE      ,NY,NEW YORK                                                    ,12759,5151,5,Associate's Degree,1,Public,2015,77,400,19.2
2880,ULSTER COUNTY COMMUNITY COLLEGE                                  ,491 COTTEKILL ROAD                                ,STONE RIDGE         ,NY,NEW YORK                                                    ,12484,557,5,Associate's Degree,1,Public,2015,78,469,16.6
2881,SUNY WESTCHESTER COMMUNITY COLLEGE                               ,75 GRASSLANDS ROAD                                ,VALHALLA            ,NY,NEW YORK                                                    ,10595,1698,5,Associate's Degree,1,Public,2015,132,1069,12.3
2882,SYRACUSE UNIVERSITY                                              ,"CROUSE HINDS HALL, SUITE 600                      ",SYRACUSE            ,NY,NEW YORK                                                    ,13244,2130,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,111,3844,2.8
2883,UTICA COLLEGE                                                    ,1600 BURRSTONE ROAD                               ,UTICA               ,NY,NEW YORK                                                    ,13502,4892,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,79,1356,5.8
2885,ALBANY COLLEGE OF PHARMACY AND HEALTH SCIENCES                   ,106 NEW SCOTLAND AVENUE                           ,ALBANY              ,NY,NEW YORK                                                    ,12208,3492,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,1,364,0.2
2886,ALBANY LAW SCHOOL OF UNION UNIVERSITY                            ,80 NEW SCOTLAND AVENUE                            ,ALBANY              ,NY,NEW YORK                                                    ,12208,3494,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,1,224,0.4
2887,ALBANY MEDICAL COLLEGE                                           ,47 NEW SCOTLAND AVENUE                            ,ALBANY              ,NY,NEW YORK                                                    ,12208,3479,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,1,200,0.5
2889,UNION COLLEGE                                                    ,807 UNION STREET                                  ,SCHENECTADY         ,NY,NEW YORK                                                    ,12308,2311,6,Bachelor's Degree,2,Nonprofit,2015,6,379,1.5
2890,UNION THEOLOGICAL SEMINARY                                       ,3041 BROADWAY                                     ,NEW YORK            ,NY,NEW YORK                                                    ,10027,5710,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,3,52,5.7
2892,UNITED STATES MERCHANT MARINE ACADEMY                            ,300 STEAMBOAT ROAD                                ,KINGS POINT         ,NY,NEW YORK                                                    ,11024,1699,6,Bachelor's Degree,1,Public,2015,1,53,1.8
2894,UNIVERSITY OF ROCHESTER                                          ,240 WALLIS HALL                                   ,ROCHESTER           ,NY,NEW YORK                                                    ,14627,9000,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,28,1673,1.6
2895,VASSAR COLLEGE                                                   ,124 RAYMOND AVENUE                                ,POUGHKEEPSIE        ,NY,NEW YORK                                                    ,12604,8,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,6,390,1.5
2896,VILLA MARIA COLLEGE OF BUFFALO                                   ,240 PINE RIDGE ROAD                               ,BUFFALO             ,NY,NEW YORK                                                    ,14225,3999,6,Bachelor's Degree,2,Nonprofit,2015,28,229,12.2
2899,WAGNER COLLEGE                                                   ,ONE CAMPUS ROAD                                   ,STATEN ISLAND       ,NY,NEW YORK                                                    ,10301,4495,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,20,521,3.8
2900,WEBB INSTITUTE                                                   ,298 CRESCENT BEACH ROAD                           ,GLEN COVE           ,NY,NEW YORK                                                    ,11542,1398,6,Bachelor's Degree,2,Nonprofit,2015,0,22,0
2901,WELLS COLLEGE                                                    ,170 MAIN STREET                                   ,AURORA              ,NY,NEW YORK                                                    ,13026,500,6,Bachelor's Degree,2,Nonprofit,2015,16,170,9.4
2903,YESHIVA UNIVERSITY                                               ,500 WEST 185TH STREET              WILF CAMPUS    ,NEW YORK            ,NY,NEW YORK                                                    ,10033,3201,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,21,953,2.2
2905,NORTH CAROLINA AGRICULTURAL & TECHNICAL STATE UNIVERSITY         ,1601 EAST MARKET STREET                           ,GREENSBORO          ,NC,NORTH CAROLINA                                              ,27411,1,8,Master's Degree or Doctor's Degree,1,Public,2015,321,3024,10.6
2906,APPALACHIAN STATE UNIVERSITY                                     ,DOUGHERTY ADMINISTRATION BUILDING                 ,BOONE               ,NC,NORTH CAROLINA                                              ,28608,1,8,Master's Degree or Doctor's Degree,1,Public,2015,145,3403,4.2
2907,UNIVERSITY OF NORTH CAROLINA  ASHEVILLE                          ,1 UNIVERSITY HEIGHTS                              ,ASHEVILLE           ,NC,NORTH CAROLINA                                              ,28804,8503,8,Master's Degree or Doctor's Degree,1,Public,2015,43,844,5
2908,BARTON COLLEGE                                                   ,704A COLLEGE STREET                               ,WILSON              ,NC,NORTH CAROLINA                                              ,27893,3104,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,30,374,8
2910,BELMONT ABBEY COLLEGE                                            ,100 BELMONT MOUNT HOLLY ROAD                      ,BELMONT             ,NC,NORTH CAROLINA                                              ,28012,1802,6,Bachelor's Degree,2,Nonprofit,2015,43,514,8.3
2911,BENNETT COLLEGE                                                  ,900 EAST WASHINGTON STREET                        ,GREENSBORO          ,NC,NORTH CAROLINA                                              ,27401,3239,6,Bachelor's Degree,2,Nonprofit,2015,37,271,13.6
2912,BREVARD COLLEGE                                                  ,1 BREVARD COLLEGE DRIVE                           ,BREVARD             ,NC,NORTH CAROLINA                                              ,28712,3306,6,Bachelor's Degree,2,Nonprofit,2015,33,242,13.6
2913,CAMPBELL UNIVERSITY                                              ,143 MAIN STREET                                   ,BUIES CREEK         ,NC,NORTH CAROLINA                                              ,27506,36,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,95,1543,6.1
2914,CATAWBA COLLEGE                                                  ,2300 WEST INNES STREET                            ,SALISBURY           ,NC,NORTH CAROLINA                                              ,28144,2488,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,50,448,11.1
2915,CENTRAL PIEDMONT COMMUNITY COLLEGE                               ,1201 ELIZABETH AVENUE                             ,CHARLOTTE           ,NC,NORTH CAROLINA                                              ,28204,2297,5,Associate's Degree,1,Public,2015,439,2360,18.6
2916,CHOWAN UNIVERSITY                                                ,ONE UNIVERSITY PLACE                              ,MURFREESBORO        ,NC,NORTH CAROLINA                                              ,27855,1850,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,107,628,17
2917,COLLEGE OF THE ALBEMARLE                                         ,1208 NORTH ROAD STREET                            ,ELIZABETH CITY      ,NC,NORTH CAROLINA                                              ,27909,2327,5,Associate's Degree,1,Public,2015,22,104,21.1
2918,DAVIDSON COLLEGE                                                 ,CONCORD AND MAIN STREETS                          ,DAVIDSON            ,NC,NORTH CAROLINA                                              ,28035,0,6,Bachelor's Degree,2,Nonprofit,2015,2,142,1.4
2919,DAVIDSON COUNTY COMMUNITY COLLEGE                                ,297 DCCC ROAD                                     ,THOMASVILLE         ,NC,NORTH CAROLINA                                              ,27360,0,5,Associate's Degree,1,Public,2015,203,847,23.9
2920,DUKE UNIVERSITY                                                  ,2127 CAMPUS DRIVE                                 ,DURHAM              ,NC,NORTH CAROLINA                                              ,27708,397,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,14,2129,0.6
2923,EAST CAROLINA UNIVERSITY                                         ,EAST FIFTH STREET                                 ,GREENVILLE          ,NC,NORTH CAROLINA                                              ,27858,1818,8,Master's Degree or Doctor's Degree,1,Public,2015,301,5909,5
2926,ELIZABETH CITY STATE UNIVERSITY                                  ,1704 WEEKSVILLE ROAD                              ,ELIZABETH CITY      ,NC,NORTH CAROLINA                                              ,27909,7806,8,Master's Degree or Doctor's Degree,1,Public,2015,106,781,13.5
2927,ELON UNIVERSITY                                                  ,100 CAMPUS DRIVE                   2185 CAMPUS BOX,ELON                ,NC,NORTH CAROLINA                                              ,27244,2010,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,14,924,1.5
2928,FAYETTEVILLE STATE UNIVERSITY                                    ,1200 MURCHISON ROAD                               ,FAYETTEVILLE        ,NC,NORTH CAROLINA                                              ,28301,4298,8,Master's Degree or Doctor's Degree,1,Public,2015,202,1836,11
2929,GARDNER - WEBB UNIVERSITY                                        ,110 SOUTH MAIN STREET                             ,BOILING SPRINGS     ,NC,NORTH CAROLINA                                              ,28017,0,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,88,1311,6.7
2930,GREENSBORO COLLEGE                                               ,815 WEST MARKET STREET                            ,GREENSBORO          ,NC,NORTH CAROLINA                                              ,27401,1875,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,49,328,14.9
2931,GUILFORD COLLEGE                                                 ,5800 WEST FRIENDLY AVENUE                         ,GREENSBORO          ,NC,NORTH CAROLINA                                              ,27410,4171,6,Bachelor's Degree,2,Nonprofit,2015,74,737,10
2933,HIGH POINT UNIVERSITY                                            ,ONE UNIVERSITY PARKWAY                            ,HIGH POINT          ,NC,NORTH CAROLINA                                              ,27268,2726,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,43,968,4.4
2934,ISOTHERMAL COMMUNITY COLLEGE                                     ,286 ICC LOOP ROAD                                 ,SPINDALE            ,NC,NORTH CAROLINA                                              ,28160,804,5,Associate's Degree,1,Public,2015,23,67,34.3
2936,JOHNSON C SMITH UNIVERSITY                                       ,100 BEATTIES FORD ROAD                            ,CHARLOTTE           ,NC,NORTH CAROLINA                                              ,28216,5398,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,103,542,19
2937,KING'S COLLEGE                                                   ,322 LAMAR AVENUE                                  ,CHARLOTTE           ,NC,NORTH CAROLINA                                              ,28204,2435,5,Associate's Degree,3,For-Profit,2015,25,296,8.4
2939,LEES-MCRAE COLLEGE                                               ,375 COLLEGE DRIVE                                 ,BANNER ELK          ,NC,NORTH CAROLINA                                              ,28604,0,6,Bachelor's Degree,2,Nonprofit,2015,22,334,6.5
2940,LENOIR COMMUNITY COLLEGE                                         ,231 HIGHWAY 58 SOUTH                              ,KINSTON             ,NC,NORTH CAROLINA                                              ,28502,188,5,Associate's Degree,1,Public,2015,0,5,0
2941,LENOIR-RHYNE UNIVERSITY                                          ,625 SEVENTH AVENUE NORTHEAST                      ,HICKORY             ,NC,NORTH CAROLINA                                              ,28601,3984,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,60,679,8.8
